"Scala_Spark
单选题 （共计 10 题，总计 20分）
1、下面选项中a的取值不一致的是？（ ）。
","[{'optionContent': 'A.val a = 3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.val a:Double = 1 + 2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.var a = 1; a += 2 \n', 'isCorrect': '-1'}, {'optionContent': 'D.val b = 1.+(2); val a = b.toInt \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"12、以下哪些方法是执行方法？（ ）。
","[{'optionContent': 'A.count \n', 'isCorrect': '-1'}, {'optionContent': 'B.top \n', 'isCorrect': '-1'}, {'optionContent': 'C.foreach \n', 'isCorrect': '-1'}, {'optionContent': 'D.mapPartitions \n', 'isCorrect': '-1'}]","【答案解析】对于SparkRDD方法的基本掌握
","【正确答案】A,B,C
"
"13、以下对RDD持久化机制描述正确的是？（ ）。
","[{'optionContent': 'A.cache()方法可以缓存RDD \n', 'isCorrect': '-1'}, {'optionContent': 'B.cache()方法支持memory_only_ser级别 \n', 'isCorrect': '-1'}, {'optionContent': 'C.persist()方法默认的是memory_only级别 \n', 'isCorrect': '-1'}, {'optionContent': 'D.persist()方法支持memory_only_ser级别 \n', 'isCorrect': '-1'}]","【答案解析】Spark可以使用 persist 和 cache 方法将任意 RDD 缓存到内存、磁盘文件系统中。缓存是容错的，如果一个 RDD 分片丢失，可以通过构建它的 transformation自动重构。被缓存的 RDD 被使用的时，存取速度会被大大加速。一般的executor内存60%做 cache， 剩下的40%做task。
","【正确答案】A,C,D
"
"14、以下说法正确的是？（ ）。
","[{'optionContent': 'A.窄依赖底层会应用流水线优化 \n', 'isCorrect': '-1'}, {'optionContent': 'B.窄依赖不会产生shuffle \n', 'isCorrect': '-1'}, {'optionContent': 'C.filter方法会产生宽依赖 \n', 'isCorrect': '-1'}, {'optionContent': 'D.借助依赖关系,RDD可以实现恢复数据 \n', 'isCorrect': '-1'}]","【答案解析】对于Spark依赖关系的基本掌握
","【正确答案】A,C,D
"
"15、以下对RDD持久化机制描述正确的是？（ ）。
","[{'optionContent': 'A.可以将RDD存到磁盘上 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可以将RDD存到缓存中 \n', 'isCorrect': '-1'}, {'optionContent': 'C.缓存RDD会避免重新计算，提高性能 \n', 'isCorrect': '-1'}, {'optionContent': 'D.未缓存的RDD数据会被GC清理掉 \n', 'isCorrect': '-1'}]","【答案解析】Spark可以使用 persist 和 cache 方法将任意 RDD 缓存到内存、磁盘文件系统中。缓存是容错的，如果一个 RDD 分片丢失，可以通过构建它的 transformation自动重构。被缓存的 RDD 被使用的时，存取速度会被大大加速。一般的executor内存60%做 cache， 剩下的40%做task。
","【正确答案】A,B,C,D
"
"16、以下对Spark的共享变量描述正确的是？（ ）。
","[{'optionContent': 'A.广播变量缓存到各个节点的内存中，而不是每个 Task \n', 'isCorrect': '-1'}, {'optionContent': 'B.广播变量被创建后，能在集群中运行的任何函数调用 \n', 'isCorrect': '-1'}, {'optionContent': 'C.广播变量是只读的，不能在被广播后修改 \n', 'isCorrect': '-1'}, {'optionContent': 'D.sc.broadcast(数据)用于创建广播变量 \n', 'isCorrect': '-1'}]","【答案解析】广播变量（Broadcast Variables）– 广播变量缓存到各个节点的内存中，而不是每个 Task– 广播变量被创建后，能在集群中运行的任何函数调用– 广播变量是只读的，不能在被广播后修改– 对于Scala&Spark集的广播， Spark 尝试使用高效的广播算法来降低通信成本
","【正确答案】A,B,C,D
"
"17、以下哪些是Spark 的DAGScheduler的功能？（ ）。
","[{'optionContent': 'A.接受用户提交的job \n', 'isCorrect': '-1'}, {'optionContent': 'B.将DAG划分为不同的stage \n', 'isCorrect': '-1'}, {'optionContent': 'C.决定每个task的最佳位置，任务在数据所在节点上运行 \n', 'isCorrect': '-1'}, {'optionContent': 'D.将taskSet提交给TaskScheduler \n', 'isCorrect': '-1'}]","【答案解析】主要功能：1.接受用户提交的job；2.将job根据类型划分为不同的stage，记录那些RDD，stage被物化，并在每一个stage内产生一系列的task，并封装成taskset；3.决定每个task的最佳位置，任务在数据所在节点上运行，并结合当前的缓存情况，将taskSet提交给TaskScheduler；4.重新提交shuffle输出丢失的stage给taskScheduler；注：一个stage内部的错误不是由shuffle输出丢失造成的，DAGScheduler是不管的，由TaskScheduler负责尝试重新提交task执行。
","【正确答案】A,B,C,D
"
"18、spark中worker 的主要工作是什么？（ ）。
","[{'optionContent': 'A.管理当前节点内存，CPU的使用情况 \n', 'isCorrect': '-1'}, {'optionContent': 'B.接受master发送过来的资源指令 \n', 'isCorrect': '-1'}, {'optionContent': 'C.启动executor进程执行Task \n', 'isCorrect': '-1'}, {'optionContent': 'D.worker不会运行代码，具体运行的是executor \n', 'isCorrect': '-1'}]","【答案解析】worker不会运行代码，具体运行的是executor，可以运行具体application斜的业务逻辑代码，操作代码的节点，不会去运行代码
","【正确答案】A,B,C,D
"
"19、以下关于Spark的数据倾斜处理方式正确的是？（ ）。
","[{'optionContent': 'A.提高executor的资源大小（内存和核数）。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.检查数据本身是否异常数据 \n', 'isCorrect': '-1'}, {'optionContent': 'C.找出异常的key，判断是哪些key造成的 \n', 'isCorrect': '-1'}, {'optionContent': 'D.使用map side join 替代  reduce side join \n', 'isCorrect': '-1'}]","【答案解析】1.发现数据倾斜的时候，不要急于提高executor的资源，修改参数或是修改程序，首先要检查数据本身，是否存在异常数据。2.找出异常的key。3.如果任务长时间卡在最后最后1个(几个)任务，首先要对key进行抽样分析，判断是哪些key造成的。 选取key，对数据进行抽样，统计出现的次数，根据出现次数大小排序取出前几个。
","【正确答案】A,B,C,D
"
"20、以下哪些方法是懒方法（变换操作）？（ ）。
","[{'optionContent': 'A.top \n', 'isCorrect': '-1'}, {'optionContent': 'B.sort \n', 'isCorrect': '-1'}, {'optionContent': 'C.sortBy \n', 'isCorrect': '-1'}, {'optionContent': 'D.collect \n', 'isCorrect': '-1'}]","【答案解析】对于SparkRDD方法的基本掌握
","【正确答案】B,C
"
"21、如果需要使用scala库中的sqrt函数,如sqrt(2)，下列引用包的方式错误的是？（ ）。
","[{'optionContent': 'A.import scala.math._ \n', 'isCorrect': '-1'}, {'optionContent': 'B.import sqrt \n', 'isCorrect': '-1'}, {'optionContent': 'C.import math._ \n', 'isCorrect': '-1'}, {'optionContent': 'D.import math.sqrt \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"22、以下单例对象，定义错误的是？（ ）。
","[{'optionContent': 'A.object A{var str = “”} \n', 'isCorrect': '-1'}, {'optionContent': 'B.object A(str:String){} \n', 'isCorrect': '-1'}, {'optionContent': 'C.object A{def str = “”} \n', 'isCorrect': '-1'}, {'optionContent': 'D.object A{val str = “”} \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"23、下面哪个端口不是 spark 自带服务的端口（ ）。
","[{'optionContent': 'A.8080 \n', 'isCorrect': '-1'}, {'optionContent': 'B.4040 \n', 'isCorrect': '-1'}, {'optionContent': 'C.7077 \n', 'isCorrect': '-1'}, {'optionContent': 'D.8090 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"24、关于函数def fac(n:Int) = { var r = 1 ; for(i <- 1 to n) r = r * i ; r} fac(5)输出结果正确的是？（ ）。
","[{'optionContent': 'A.15 \n', 'isCorrect': '-1'}, {'optionContent': 'B.120 \n', 'isCorrect': '-1'}, {'optionContent': 'C.200 \n', 'isCorrect': '-1'}, {'optionContent': 'D.300 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"25、下面哪个不是 RDD 的特点（ ）。
","[{'optionContent': 'A.可分区 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可序列化 \n', 'isCorrect': '-1'}, {'optionContent': 'C.可修改 \n', 'isCorrect': '-1'}, {'optionContent': 'D.可持久化 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"26、scala语言中，关于List的定义。不正确的是？（ ）。
","[{'optionContent': 'A.val list = List(1,2,3)。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.val list = List[Int](1,2,3)。 \n', 'isCorrect': '-1'}, {'optionContent': 'C.val list = List[String](‘a’,’b’,’c’)。 \n', 'isCorrect': '-1'}, {'optionContent': 'D.val list = List[String]()。 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"27、哪一个不是Spark RDD的创建方式？（ ）。
","[{'optionContent': 'A.将普通集合转变为RDD \n', 'isCorrect': '-1'}, {'optionContent': 'B.使用本地文件创建RDD \n', 'isCorrect': '-1'}, {'optionContent': 'C.读取HDFS文件创建RDD \n', 'isCorrect': '-1'}, {'optionContent': 'D.直接将Avro数据转变为RDD \n', 'isCorrect': '-1'}]","【答案解析】1).使用程序中的集合创建rdd2).使用本地文件系统创建rdd3).使用hdfs创建rdd，4).基于数据库db创建rdd5).基于Nosql创建rdd，如hbase6).基于s3创建rdd，7).基于数据流，如socket创建rdd
","【正确答案】D
"
"28、Task 运行所在的Executor 是启动在哪个组件上？（ ）。
","[{'optionContent': 'A.Driver \n', 'isCorrect': '-1'}, {'optionContent': 'B.Master \n', 'isCorrect': '-1'}, {'optionContent': 'C.Worker \n', 'isCorrect': '-1'}, {'optionContent': 'D.Yarn \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"29、哪些方式可以创建RDD？（ ）。
","[{'optionContent': 'A.将一个普通集合类型转变为RDD \n', 'isCorrect': '-1'}, {'optionContent': 'B.读取Linux本地文件 \n', 'isCorrect': '-1'}, {'optionContent': 'C.读取Window本地文件 \n', 'isCorrect': '-1'}, {'optionContent': 'D.读取HDFS文件 \n', 'isCorrect': '-1'}]","【答案解析】对于Spark RDD概念的基本掌握
","【正确答案】A,B,C,D
"
"30、以下对于Spark pipeline（数据流管道）机制描述争取的是？（ ）。
","[{'optionContent': 'A.窄依赖底层会执行pipeline(数据流管道)优化 \n', 'isCorrect': '-1'}, {'optionContent': 'B.管道中RDD是在内存里计算的 \n', 'isCorrect': '-1'}, {'optionContent': 'C.管道中RDD的持久化是发生在shuffle write时 \n', 'isCorrect': '-1'}, {'optionContent': 'D.管道中RDD的持久化是发生在shuffle read时 \n', 'isCorrect': '-1'}]","【答案解析】spark的pipeline管道计算模式相当于执行了一个高阶函数，也就是说来一条数据然后计算一条数据，会把所有的逻辑走完然后落地。而Hadoop的MapReduce是1+1=2，2+1=3这样的计算模式，也就是计算完落地，然后再计算，然后再落地到磁盘或者内存，最后数据是落在计算节点上，按reduce的hash分区落地。管道计算模式完全基于内存计算，所以比MapReduce快的原因。
","【正确答案】A,B,C
"
"31、以下说法正确的是？（ ）。
","[{'optionContent': 'A.窄依赖，父子分区一对一关系 \n', 'isCorrect': '-1'}, {'optionContent': 'B.窄依赖会产生shuffle \n', 'isCorrect': '-1'}, {'optionContent': 'C.宽依赖，父子分区一对多关系 \n', 'isCorrect': '-1'}, {'optionContent': 'D.宽依赖会产生shuffle \n', 'isCorrect': '-1'}]","【答案解析】对于Spark依赖关系的基本掌握
","【正确答案】A,C,D
"
"32、Spark的技术栈有哪些？（ ）。
","[{'optionContent': 'A.Spark Core \n', 'isCorrect': '-1'}, {'optionContent': 'B.Spark RDD \n', 'isCorrect': '-1'}, {'optionContent': 'C.Spark DAG \n', 'isCorrect': '-1'}, {'optionContent': 'D.Spark MLlib \n', 'isCorrect': '-1'}]","【答案解析】1.Spark core：是其它组件的基础，spark的内核，主要包含：有向循环图、RDD、Lingage、Cache、broadcast等，并封装了底层通讯框架，是Spark的基础。2.SparkStreaming是一个对实时数据流进行高通量、容错处理的流式处理系统，可以对多种数据源（如Kdfka、Flume、Twitter、Zero和TCP 套接字）进行类似Map、Reduce和Join等复杂操作，将流式计算分解成一系列短小的批处理作业。3.Spark sql：Shark是SparkSQL的前身，Spark SQL的一个重要特点是其能够统一处理关系表和RDD，使得开发人员可以轻松地使用SQL命令进行外部查询，同时进行更复杂的数据分析4.BlinkDB ：是一个用于在海量数据上运行交互式 SQL 查询的大规模并行查询引擎，它允许用户通过权衡数据精度来提升查询响应时间，其数据的精度被控制在允许的误差范围内。5.MLBase是Spark生态圈的一部分专注于机器学习，让机器学习的门槛更低，让一些可能并不了解机器学习的用户也能方便地使用MLbase。MLBase分为四部分：MLlib，MLI、ML Optimizer和MLRuntime。6.GraphX是Spark中用于图和图并行计算
","【正确答案】A,D
"
"33、表达式for(i <- 1 to 3; for(j <- 1 to 3; if i != j ) print((10 * i + j)) + "" ""输出结果正确的是？（ ）。
","[{'optionContent': 'A.11 12 13 21 22 23 31 32 33 \n', 'isCorrect': '-1'}, {'optionContent': 'B.11 13 21 23 31 33 \n', 'isCorrect': '-1'}, {'optionContent': 'C.12 13 21 23 31 32 \n', 'isCorrect': '-1'}, {'optionContent': 'D.11 12 21 22 31 32 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"34、下面哪个操作肯定是宽依赖  （ ）。
","[{'optionContent': 'A.ReduceBykey \n', 'isCorrect': '-1'}, {'optionContent': 'B.Map \n', 'isCorrect': '-1'}, {'optionContent': 'C.FlatMap \n', 'isCorrect': '-1'}, {'optionContent': 'D.MapPartitions \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"35、哪一个不是Spark Shuffle优化的手段？（ ）。
","[{'optionContent': 'A.压缩数据 \n', 'isCorrect': '-1'}, {'optionContent': 'B.尽量减少磁盘I/O \n', 'isCorrect': '-1'}, {'optionContent': 'C.更换更高效的序列化框架 \n', 'isCorrect': '-1'}, {'optionContent': 'D.减少分区数 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"36、下面哪个操作是窄依赖 （ ）。
","[{'optionContent': 'A.ReduceBykey \n', 'isCorrect': '-1'}, {'optionContent': 'B.Filter \n', 'isCorrect': '-1'}, {'optionContent': 'C.Group \n', 'isCorrect': '-1'}, {'optionContent': 'D.Sort \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"37、spark程序支持用哪些语言编写？
","[{'optionContent': 'A.Java \n', 'isCorrect': '-1'}, {'optionContent': 'B.C# \n', 'isCorrect': '-1'}, {'optionContent': 'C.Scala \n', 'isCorrect': '-1'}, {'optionContent': 'D.Python \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"38、哪一个不是RDD的弹性的体现？（ ）。
","[{'optionContent': 'A.stage如果失败会自动进行特定次数的重试，而且只会计算失败的分片 \n', 'isCorrect': '-1'}, {'optionContent': 'B.checkpoint和persist，数据计算之后持久化缓存 \n', 'isCorrect': '-1'}, {'optionContent': 'C.数据调度弹性，DAG TASK调度和资源无关 \n', 'isCorrect': '-1'}, {'optionContent': 'D.RDD可以通过读取HDFS文件来创建 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"39、关于辅助构造器，以下说法不正确的是？（ ）。
","[{'optionContent': 'A.辅助构造器的名称为this。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.辅助构造器的定义要调用已定义的辅助构造器或主构造器。 \n', 'isCorrect': '-1'}, {'optionContent': 'C.辅助构造器可以有任意多个。 \n', 'isCorrect': '-1'}, {'optionContent': 'D.辅助构造器必须要带参数。 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
"40、以下关于Spark的数据倾斜描述正确的是？（ ）。
","[{'optionContent': 'A.产生数据倾斜会拖慢整个任务的执行速度。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.过多的数据在同一task中运行也是一种数据倾斜 \n', 'isCorrect': '-1'}, {'optionContent': 'C.数据倾斜的后果之一是可能撑爆executor的内存 \n', 'isCorrect': '-1'}, {'optionContent': 'D.执行join操作不会发生数据倾斜 \n', 'isCorrect': '-1'}]","【答案解析】数据倾斜的后果1.spark中的stage的执行时间受限于最后那个执行完成的task,因此运行缓慢的任务会拖垮整个程序的运行速度（分布式程序运行的速度是由最慢的那个task决定的）。2.过多的数据在同一个task中运行，将会把executor撑爆。
","【正确答案】A,B,C
"
"41、以下对Spark的累加器描述正确的是？（ ）。
","[{'optionContent': 'A.累加器只支持加法操作 \n', 'isCorrect': '-1'}, {'optionContent': 'B.累加器是只读的 \n', 'isCorrect': '-1'}, {'optionContent': 'C.累加器可以全局被访问到 \n', 'isCorrect': '-1'}, {'optionContent': 'D.sc.accumulator用于创建累加器 \n', 'isCorrect': '-1'}]","【答案解析】累加器只支持加法操作，可以高效地并行，用于实现计数器和变量求和。Spark 原生支持数值类型和标准可变集合的计数器，但用户可以添加新的类型。只有驱动程序才能获取累加器的值
","【正确答案】A,C,D
"
"42、spark中的RDD是什么，有哪些特性？（ ）。
","[{'optionContent': 'A.就是一个集合，用于存放数据的 \n', 'isCorrect': '-1'}, {'optionContent': 'B.分布式，可以并行在集群计算 \n', 'isCorrect': '-1'}, {'optionContent': 'C.可以设置和调整分区数 \n', 'isCorrect': '-1'}, {'optionContent': 'D.中文翻译为弹性分布式数据集 \n', 'isCorrect': '-1'}]","【答案解析】对于Spark的RDD概念的基本掌握
","【正确答案】A,B,C,D
"
"43、以下哪些方法是懒方法（变换操作）？（ ）。
","[{'optionContent': 'A.reduceByKey \n', 'isCorrect': '-1'}, {'optionContent': 'B.reduce \n', 'isCorrect': '-1'}, {'optionContent': 'C.take \n', 'isCorrect': '-1'}, {'optionContent': 'D.first \n', 'isCorrect': '-1'}]","【答案解析】对于SparkRDD方法的基本掌握
","【正确答案】A,C
"
"44、以下哪些是Spark的组件（ ）。
","[{'optionContent': 'A.Master \n', 'isCorrect': '-1'}, {'optionContent': 'B.Worker \n', 'isCorrect': '-1'}, {'optionContent': 'C.Driver \n', 'isCorrect': '-1'}, {'optionContent': 'D.DAG \n', 'isCorrect': '-1'}]","【答案解析】主要有如下组件：1.master：管理集群和节点，不参与计算。2.worker：计算节点，进程本身不参与计算，和master汇报。3.Driver：运行程序的main方法，创建spark context对象。4.spark context：控制整个application的生命周期，包括dagsheduler和task scheduler等组件。5.client：用户提交程序的入口。
","【正确答案】A,B,C
"
"45、以下哪些是Spark调优的可行手段（ ）。
","[{'optionContent': 'A.设置合适的资源量 \n', 'isCorrect': '-1'}, {'optionContent': 'B.启用高效的序列化方法如kyro \n', 'isCorrect': '-1'}, {'optionContent': 'C.提高数据的本地性 \n', 'isCorrect': '-1'}, {'optionContent': 'D.复用RDD进行缓存 \n', 'isCorrect': '-1'}]","【答案解析】spark调优比较复杂，但是大体可以分为三个方面来进行，1.平台层面的调优：防止不必要的jar包分发，提高数据的本地性，选择高效的存储格式如parquet，2.应用程序层面的调优：过滤操作符的优化降低过多小任务，降低单条记录的资源开销，处理数据倾斜，复用RDD进行缓存，作业并行化执行等等，3.JVM层面的调优：设置合适的资源量，设置合理的JVM，启用高效的序列化方法如kyro，增大off head内存等等
","【正确答案】A,B,C,D
"
"46、以下关于Spark的数据倾斜处理方式正确的是？（ ）。
","[{'optionContent': 'A.隔离执行，将异常的key过滤出来单独处理，最后与正常数据的处理结果进行union操作 \n', 'isCorrect': '-1'}, {'optionContent': 'B.对key先添加随机值，进行操作后，去掉随机值，再进行一次操作 \n', 'isCorrect': '-1'}, {'optionContent': 'C.使用map side join \n', 'isCorrect': '-1'}, {'optionContent': 'D.对异常数据过滤后再处理 \n', 'isCorrect': '-1'}]","【答案解析】1.发现数据倾斜的时候，不要急于提高executor的资源，修改参数或是修改程序，首先要检查数据本身，是否存在异常数据。2.找出异常的key。3.如果任务长时间卡在最后最后1个(几个)任务，首先要对key进行抽样分析，判断是哪些key造成的。 选取key，对数据进行抽样，统计出现的次数，根据出现次数大小排序取出前几个。
","【正确答案】A,B,C,D
"
"47、spark中的RDD是什么，有哪些特性？（ ）。
","[{'optionContent': 'A.就是一个集合，用于存放数据的 \n', 'isCorrect': '-1'}, {'optionContent': 'B.RDD数据可以存储在内存里或磁盘上 \n', 'isCorrect': '-1'}, {'optionContent': 'C.RDD的分区是可以改变的 \n', 'isCorrect': '-1'}, {'optionContent': 'D.和Array和List没什么区别 \n', 'isCorrect': '-1'}]","【答案解析】对于Spark的RDD概念的基本掌握
","【正确答案】A,B,C
"
"48、scala 中，类和它的伴生对象说法错误的是？（ ）。
","[{'optionContent': 'A.类和它的伴生对象定义在同一个文件中。 \n', 'isCorrect': '-1'}, {'optionContent': 'B.类和它的伴生对象可以有不同的名称。 \n', 'isCorrect': '-1'}, {'optionContent': 'C.类和它的伴生对象可以互相访问私有特性。 \n', 'isCorrect': '-1'}, {'optionContent': 'D.类和它的伴生对象可以实现既有实例方法又有静态方法。 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】B
"
"49、默认的存储级别（ ）。
","[{'optionContent': 'A.MEMORY_ONLY \n', 'isCorrect': '-1'}, {'optionContent': 'B.MEMORY_ONLY_SER \n', 'isCorrect': '-1'}, {'optionContent': 'C.MEMORY_AND_DISK \n', 'isCorrect': '-1'}, {'optionContent': 'D.MEMORY_AND_DISK_SER \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"50、关于数组val a = Array(1,2,3)下列说法错误的是？（ ）。
","[{'optionContent': 'A.val b = 2 * a // b 等于 Array(2,4,6) \n', 'isCorrect': '-1'}, {'optionContent': 'B.val b = a.map(_*2) // b 等于 Array(2,4,6) \n', 'isCorrect': '-1'}, {'optionContent': 'C.val b = for(elem <- a) yield 2 * elem // b 等于 Array(2,4,6) \n', 'isCorrect': '-1'}, {'optionContent': 'D.val b = for(elem <- a if elem % 2 == 0) yield 2 * elem // b 等于 Array(4) \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】A
"
"51、不属于Scala 7种数据类型之一的是？
","[{'optionContent': 'A.char \n', 'isCorrect': '-1'}, {'optionContent': 'B.int \n', 'isCorrect': '-1'}, {'optionContent': 'C.long \n', 'isCorrect': '-1'}, {'optionContent': 'D.longlong \n', 'isCorrect': '-1'}]","【答案解析】Scala支持数据类型：Byte、Short、Int、Long、Float、Double、Char
","【正确答案】D
"
"52、关于累加器，下面哪个是错误的 （ ）。
","[{'optionContent': 'A.支持加法 \n', 'isCorrect': '-1'}, {'optionContent': 'B.支持数值类型 \n', 'isCorrect': '-1'}, {'optionContent': 'C.可并行 \n', 'isCorrect': '-1'}, {'optionContent': 'D.不支持自定义类型 \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】D
"
